ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval,FNS32144,32144.TXT,0.25503,0.15149,0.19007,3

ROUGE-L+StopWordRemoval,FNS30888,30888.TXT,0.49634,0.26331,0.34408,3

ROUGE-1+StopWordRemoval,FNS30888,30888.TXT,0.56380,0.18922,0.28335,3

ROUGE-2+StopWordRemoval,FNS30888,30888.TXT,0.18921,0.06300,0.09453,3

ROUGE-SU4+StopWordRemoval,FNS30888,30888.TXT,0.30040,0.09969,0.14970,3

ROUGE-L+StopWordRemoval,FNS32825,32825.TXT,0.42934,0.22079,0.29162,3

ROUGE-1+StopWordRemoval,FNS32825,32825.TXT,0.50449,0.15189,0.23348,3

ROUGE-2+StopWordRemoval,FNS32825,32825.TXT,0.12735,0.03386,0.05350,3

ROUGE-SU4+StopWordRemoval,FNS32825,32825.TXT,0.26787,0.06522,0.10490,3

ROUGE-L+StopWordRemoval,FNS31857,31857.TXT,0.52060,0.15157,0.23478,4

ROUGE-1+StopWordRemoval,FNS31857,31857.TXT,0.52930,0.12653,0.20423,4

ROUGE-2+StopWordRemoval,FNS31857,31857.TXT,0.18104,0.04273,0.06914,4

ROUGE-SU4+StopWordRemoval,FNS31857,31857.TXT,0.29531,0.06636,0.10837,4

ROUGE-L+StopWordRemoval,FNS31979,31979.TXT,0.61619,0.14842,0.23922,3

ROUGE-1+StopWordRemoval,FNS31979,31979.TXT,0.64975,0.08554,0.15118,3

ROUGE-2+StopWordRemoval,FNS31979,31979.TXT,0.24580,0.03165,0.05607,3

ROUGE-SU4+StopWordRemoval,FNS31979,31979.TXT,0.35268,0.04720,0.08325,3

ROUGE-L+StopWordRemoval,FNS31617,31617.TXT,0.59361,0.18997,0.28783,4

ROUGE-1+StopWordRemoval,FNS31617,31617.TXT,0.66122,0.11436,0.19499,4

ROUGE-2+StopWordRemoval,FNS31617,31617.TXT,0.23952,0.04171,0.07105,4

ROUGE-SU4+StopWordRemoval,FNS31617,31617.TXT,0.36259,0.06125,0.10480,4

ROUGE-L+StopWordRemoval,FNS31618,31618.TXT,0.54285,0.30453,0.39017,3

ROUGE-1+StopWordRemoval,FNS31618,31618.TXT,0.59156,0.25150,0.35294,3

ROUGE-2+StopWordRemoval,FNS31618,31618.TXT,0.36528,0.08854,0.14254,3

ROUGE-SU4+StopWordRemoval,FNS31618,31618.TXT,0.43819,0.13234,0.20328,3

ROUGE-L+StopWordRemoval,FNS31023,31023.TXT,0.53203,0.30755,0.38978,3

ROUGE-1+StopWordRemoval,FNS31023,31023.TXT,0.53449,0.18811,0.27828,3

ROUGE-2+StopWordRemoval,FNS31023,31023.TXT,0.19761,0.06644,0.09945,3

ROUGE-SU4+StopWordRemoval,FNS31023,31023.TXT,0.28057,0.09859,0.14591,3

ROUGE-L+StopWordRemoval,FNS31265,31265.TXT,0.39758,0.13227,0.19850,4

ROUGE-1+StopWordRemoval,FNS31265,31265.TXT,0.53064,0.10472,0.17492,4

ROUGE-2+StopWordRemoval,FNS31265,31265.TXT,0.17494,0.03375,0.05658,4

ROUGE-SU4+StopWordRemoval,FNS31265,31265.TXT,0.29232,0.05509,0.09271,4

ROUGE-L+StopWordRemoval,FNS32597,32597.TXT,0.64600,0.10287,0.17747,4

ROUGE-1+StopWordRemoval,FNS32597,32597.TXT,0.53439,0.05762,0.10402,4

ROUGE-2+StopWordRemoval,FNS32597,32597.TXT,0.17050,0.01834,0.03312,4

ROUGE-SU4+StopWordRemoval,FNS32597,32597.TXT,0.28535,0.02817,0.05128,4

ROUGE-L+StopWordRemoval,FNS32113,32113.TXT,0.48880,0.21077,0.29453,4

ROUGE-1+StopWordRemoval,FNS32113,32113.TXT,0.57499,0.20325,0.30034,4

ROUGE-2+StopWordRemoval,FNS32113,32113.TXT,0.17067,0.06009,0.08889,4

ROUGE-SU4+StopWordRemoval,FNS32113,32113.TXT,0.29033,0.10124,0.15013,4

ROUGE-L+StopWordRemoval,FNS32355,32355.TXT,0.57320,0.24702,0.34525,3

ROUGE-1+StopWordRemoval,FNS32355,32355.TXT,0.64343,0.12930,0.21533,3

ROUGE-2+StopWordRemoval,FNS32355,32355.TXT,0.28670,0.05621,0.09399,3

ROUGE-SU4+StopWordRemoval,FNS32355,32355.TXT,0.37216,0.07548,0.12551,3

ROUGE-L+StopWordRemoval,FNS31146,31146.TXT,0.52721,0.25367,0.34253,3

ROUGE-1+StopWordRemoval,FNS31146,31146.TXT,0.63756,0.15029,0.24324,3

ROUGE-2+StopWordRemoval,FNS31146,31146.TXT,0.28593,0.05983,0.09895,3

ROUGE-SU4+StopWordRemoval,FNS31146,31146.TXT,0.39659,0.07921,0.13204,3

ROUGE-L+StopWordRemoval,FNS32599,32599.TXT,0.53504,0.21268,0.30437,5

ROUGE-1+StopWordRemoval,FNS32599,32599.TXT,0.56157,0.16925,0.26011,5

ROUGE-2+StopWordRemoval,FNS32599,32599.TXT,0.18042,0.05345,0.08246,5

ROUGE-SU4+StopWordRemoval,FNS32599,32599.TXT,0.30624,0.09112,0.14045,5

ROUGE-L+StopWordRemoval,FNS31026,31026.TXT,0.50975,0.22443,0.31165,3

ROUGE-1+StopWordRemoval,FNS31026,31026.TXT,0.55279,0.15896,0.24691,3

ROUGE-2+StopWordRemoval,FNS31026,31026.TXT,0.17548,0.04684,0.07395,3

ROUGE-SU4+StopWordRemoval,FNS31026,31026.TXT,0.29709,0.07778,0.12328,3

ROUGE-L+StopWordRemoval,FNS32236,32236.TXT,0.75233,0.24898,0.37414,3

ROUGE-1+StopWordRemoval,FNS32236,32236.TXT,0.71425,0.16042,0.26200,3

ROUGE-2+StopWordRemoval,FNS32236,32236.TXT,0.51193,0.11440,0.18701,3

ROUGE-SU4+StopWordRemoval,FNS32236,32236.TXT,0.55524,0.12952,0.21004,3

ROUGE-L+StopWordRemoval,FNS32116,32116.TXT,0.49763,0.19960,0.28492,3

ROUGE-1+StopWordRemoval,FNS32116,32116.TXT,0.53133,0.11406,0.18781,3

ROUGE-2+StopWordRemoval,FNS32116,32116.TXT,0.19180,0.03964,0.06570,3

ROUGE-SU4+StopWordRemoval,FNS32116,32116.TXT,0.27918,0.06056,0.09953,3

ROUGE-L+StopWordRemoval,FNS31940,31940.TXT,0.57705,0.19056,0.28650,4

ROUGE-1+StopWordRemoval,FNS31940,31940.TXT,0.51183,0.11420,0.18673,4

ROUGE-2+StopWordRemoval,FNS31940,31940.TXT,0.20612,0.04400,0.07251,4

ROUGE-SU4+StopWordRemoval,FNS31940,31940.TXT,0.29356,0.06241,0.10293,4

ROUGE-L+StopWordRemoval,FNS32359,32359.TXT,0.59313,0.18662,0.28391,3

ROUGE-1+StopWordRemoval,FNS32359,32359.TXT,0.59690,0.10049,0.17201,3

ROUGE-2+StopWordRemoval,FNS32359,32359.TXT,0.24767,0.03752,0.06516,3

ROUGE-SU4+StopWordRemoval,FNS32359,32359.TXT,0.35650,0.05259,0.09166,3

ROUGE-L+StopWordRemoval,FNS31942,31942.TXT,0.66424,0.22273,0.33360,3

ROUGE-1+StopWordRemoval,FNS31942,31942.TXT,0.67422,0.12155,0.20597,3

ROUGE-2+StopWordRemoval,FNS31942,31942.TXT,0.36802,0.06896,0.11616,3

ROUGE-SU4+StopWordRemoval,FNS31942,31942.TXT,0.44772,0.08708,0.14580,3

ROUGE-L+StopWordRemoval,FNS30854,30854.TXT,0.53635,0.19693,0.28809,4

ROUGE-1+StopWordRemoval,FNS30854,30854.TXT,0.58783,0.12823,0.21053,4

ROUGE-2+StopWordRemoval,FNS30854,30854.TXT,0.20276,0.03947,0.06608,4

